crop_type,region,soil_type,rainfall_mm,temperature_c,humidity_pct,soil_ph,nitrogen_kg_ha,phosphorus_kg_ha,potassium_kg_ha,pest_risk,yield_ton_per_hectare
Rice,North,Sandy,1309.18,22.59,75.93,6.01,83.85,93.88,37.24,2.58,5.152
Rice,South,Clay,974.02,30.78,70.16,5.94,92.58,28.21,36.44,6.42,6.241
Rice,South,Loamy,733.48,32.97,92.72,6.31,97.22,104.45,55.49,5.65,8.873
Rice,North,Sandy,1120.26,32.36,65.16,6.18,68.4,41.8,45.94,8.76,3.953
Rice,Central,Clay,1101.21,31.12,93.65,5.87,144.14,81.37,143.94,1.72,7.037
Rice,West,Clay,1383.07,21.46,49.86,6.14,60.59,112.38,96.23,9.17,5.418
Rice,East,Alluvial,1303.75,25.15,59.96,6.39,49.28,75.83,100.53,2.76,5.643
Rice,East,Sandy,1252.43,29.83,59.73,5.67,62.46,19.1,66.29,6.9,5.752
Rice,South,Alluvial,1136.33,30.18,84.58,6.04,48.69,56.34,92.37,6.55,5.719
Rice,North,Clay,1071.73,29.67,93.46,5.97,41.93,90.3,131.39,4.53,6.781
Rice,North,Sandy,1075.84,25.25,66.63,6.65,56.14,29.01,38.59,6.0,5.481
Rice,East,Black,1192.95,26.17,50.38,6.71,88.56,73.57,136.49,7.44,5.918
Rice,South,Clay,1121.69,29.7,55.9,6.6,136.73,94.84,122.15,3.51,8.299
Rice,North,Black,1088.28,32.4,77.27,6.81,127.91,104.44,102.92,8.51,5.9
Rice,Central,Black,1095.62,26.47,69.76,6.08,161.7,33.18,70.03,2.15,6.078
Rice,South,Loamy,1423.62,23.51,78.92,6.0,87.63,62.21,127.33,7.8,7.484
Rice,West,Sandy,1024.54,26.17,78.31,5.74,38.16,78.03,85.27,2.92,4.018
Rice,Central,Black,1340.43,22.54,66.42,6.59,84.32,95.82,87.01,6.71,5.284
Rice,North,Clay,1420.36,30.81,83.77,6.05,103.03,54.65,139.25,2.03,9.889
Rice,North,Alluvial,1144.92,21.61,56.91,6.72,164.15,106.86,47.32,7.9,4.508
Rice,South,Loamy,1296.34,23.83,59.6,5.92,157.18,62.27,57.74,9.48,4.871
Rice,West,Clay,982.95,25.36,58.92,5.99,89.47,79.75,60.55,3.75,5.013
Rice,West,Clay,1214.85,25.35,83.34,7.05,165.43,61.94,89.01,7.0,6.967
Rice,North,Sandy,1419.42,27.78,66.14,6.3,168.72,74.0,70.15,7.68,7.696
Rice,West,Clay,1304.57,33.17,50.22,6.35,121.3,113.45,96.55,6.77,6.795
Rice,East,Loamy,1177.82,25.52,61.38,5.87,84.15,22.63,85.14,6.31,4.566
Rice,North,Loamy,1387.27,29.52,61.97,5.65,90.79,47.21,43.65,4.1,6.893
Rice,West,Clay,1444.52,34.16,59.21,6.32,121.16,102.51,119.51,4.42,10.241
Rice,East,Loamy,1475.87,30.24,89.06,5.71,116.25,68.21,85.66,2.29,9.299
Rice,North,Loamy,1215.59,28.3,56.54,6.74,49.16,77.43,104.85,2.58,6.051
Rice,West,Clay,937.71,27.43,77.79,5.67,103.66,24.19,101.24,9.75,2.621
Rice,West,Alluvial,1507.68,28.27,82.28,5.48,96.09,39.92,40.32,2.89,7.693
Rice,North,Loamy,1035.19,33.0,79.98,6.6,70.91,71.72,79.02,7.9,4.402
Rice,Central,Sandy,1069.58,35.71,89.13,6.66,57.92,105.76,126.48,2.62,7.74
Rice,South,Sandy,1240.18,31.24,75.66,5.56,159.43,113.22,126.46,5.63,7.481
Rice,West,Alluvial,1071.53,21.46,68.11,6.11,76.55,38.56,100.85,1.5,4.964
Rice,South,Clay,1261.05,28.35,76.61,6.85,129.6,20.99,44.19,6.59,6.21
Rice,North,Loamy,1174.8,26.71,75.16,5.66,145.64,104.45,35.72,8.61,5.649
Rice,West,Loamy,1182.46,30.36,49.56,7.14,136.76,26.48,115.92,6.49,4.114
Rice,West,Loamy,1382.53,32.59,77.73,6.09,70.26,52.04,136.82,1.24,9.462
Rice,East,Sandy,1207.83,23.28,69.9,6.03,141.52,21.03,88.68,1.68,4.427
Rice,West,Loamy,1064.57,27.42,87.66,6.9,58.0,18.13,51.64,7.66,6.469
Rice,North,Loamy,1136.04,29.28,79.98,6.74,114.99,110.85,88.27,6.0,7.222
Rice,South,Sandy,1339.91,20.42,58.65,6.74,138.52,65.56,143.96,5.85,6.046
Rice,North,Sandy,1073.94,30.79,66.15,6.35,154.94,20.44,52.12,3.17,5.981
Rice,Central,Alluvial,1409.87,36.75,77.01,6.42,115.2,84.86,98.83,1.1,9.951
Rice,Central,Sandy,841.07,27.04,68.71,5.82,97.53,84.84,58.09,2.88,5.954
Rice,East,Black,1016.1,23.78,71.35,6.12,146.58,77.88,112.63,9.57,5.923
Rice,East,Alluvial,1080.27,27.71,63.09,6.66,133.38,27.88,140.6,1.71,7.034
Rice,West,Clay,1481.04,27.37,81.73,5.93,121.13,28.37,52.15,4.3,8.124
Rice,North,Loamy,937.74,31.67,79.9,5.56,97.54,31.76,98.63,4.44,6.301
Rice,South,Black,1111.67,23.56,77.77,6.58,123.09,103.13,103.08,6.05,6.216
Rice,South,Clay,1062.2,25.01,62.4,6.06,91.64,93.89,111.44,6.47,5.639
Rice,East,Black,1146.32,28.08,87.49,5.54,152.85,104.77,66.38,0.9,5.995
Rice,West,Loamy,1386.77,29.04,55.4,6.41,105.09,27.81,95.22,5.67,6.088
Rice,West,Alluvial,1479.98,28.63,65.02,5.79,96.68,114.06,49.5,5.42,9.623
Rice,North,Alluvial,1144.29,28.94,60.62,6.14,91.51,58.79,109.7,3.97,7.612
Rice,East,Loamy,1224.74,33.68,91.24,5.89,143.2,56.02,52.81,1.96,7.312
Rice,North,Clay,965.63,28.87,58.4,6.61,121.24,97.42,123.49,5.01,7.077
Rice,East,Alluvial,1005.56,23.08,69.59,6.27,130.07,84.68,143.0,6.91,6.696
Rice,West,Loamy,1283.93,22.11,64.47,5.98,100.46,78.47,37.99,8.87,2.142
Rice,South,Sandy,1215.56,27.05,86.08,6.85,53.95,98.64,102.08,0.93,5.506
Rice,North,Clay,1417.02,26.47,59.5,6.4,66.54,93.3,68.53,2.17,7.174
Rice,West,Alluvial,1356.58,34.41,75.98,6.33,155.68,94.44,126.14,2.58,10.235
Rice,South,Alluvial,1466.2,31.17,78.88,6.37,91.57,98.22,83.37,5.81,10.252
Rice,West,Black,1398.74,24.96,59.34,6.51,134.17,33.55,65.52,7.06,5.023
Rice,West,Sandy,1268.8,25.14,67.27,6.37,121.0,79.7,31.34,6.29,4.168
Rice,East,Loamy,984.68,27.73,89.29,6.9,119.41,50.84,128.82,4.1,7.212
Rice,West,Alluvial,826.39,25.42,61.07,6.01,42.12,46.05,69.56,5.24,5.626
Rice,East,Alluvial,1523.66,27.3,63.86,6.35,50.92,36.65,111.44,1.95,8.597
Rice,North,Loamy,1006.05,30.64,66.68,5.79,49.65,22.5,124.17,5.08,5.984
Rice,North,Alluvial,1377.3,25.42,76.37,5.71,115.5,84.05,52.86,6.8,5.557
Rice,West,Clay,1266.45,29.32,49.7,6.35,123.52,53.78,124.25,7.88,5.92
Rice,Central,Sandy,1250.55,26.3,49.58,6.78,113.07,106.64,86.24,5.5,5.659
Rice,North,Black,841.06,24.43,68.54,6.64,114.92,108.96,142.75,5.08,6.738
Rice,West,Alluvial,1375.94,31.01,57.76,6.25,35.65,84.32,42.24,9.5,5.174
Rice,North,Clay,1240.97,26.66,48.82,6.14,134.03,36.18,33.87,7.77,3.478
Rice,South,Loamy,1121.87,32.31,70.91,5.74,158.33,23.11,31.74,1.34,6.305
Rice,Central,Loamy,1067.23,29.95,75.61,7.02,117.21,48.68,139.0,7.35,6.28
Rice,West,Clay,1366.32,32.94,64.71,5.81,91.43,55.42,119.99,9.3,7.001
Rice,Central,Sandy,1164.17,29.19,92.8,5.96,79.83,76.76,142.36,8.28,7.412
Rice,Central,Sandy,778.99,23.14,59.32,5.87,139.15,40.73,80.8,7.0,5.661
Rice,East,Sandy,1168.76,30.03,90.35,6.27,73.95,31.64,132.2,9.74,5.004
Rice,South,Sandy,1480.08,27.04,73.2,6.29,107.17,70.38,84.72,4.24,8.751
Rice,South,Sandy,979.76,24.72,69.4,6.29,136.4,94.79,81.79,1.59,6.781
Rice,East,Loamy,1204.05,32.58,89.26,6.61,99.34,75.16,50.13,2.53,5.818
Rice,South,Sandy,1037.32,31.43,66.51,5.95,41.02,114.72,71.76,1.76,7.416
Rice,West,Loamy,1307.48,31.92,63.87,6.11,39.53,114.07,129.33,5.18,9.955
Rice,Central,Clay,1158.49,34.07,67.59,6.93,145.54,111.46,57.72,1.14,7.833
Rice,South,Clay,1151.04,28.57,49.6,5.72,100.72,100.02,132.69,8.57,5.135
Rice,West,Loamy,1160.02,26.54,62.66,6.22,159.32,67.13,49.37,8.45,4.441
Rice,East,Clay,1300.21,27.87,49.78,6.18,156.87,105.74,125.95,1.22,8.173
Rice,Central,Black,1269.31,28.67,82.73,6.83,75.34,75.37,116.67,1.75,6.595
Rice,East,Sandy,1176.15,29.8,70.14,6.36,54.33,83.73,29.48,7.26,4.72
Rice,South,Loamy,1357.45,33.52,51.58,5.88,136.13,93.5,140.08,9.13,7.983
Rice,West,Loamy,1050.91,25.23,63.63,6.43,119.8,31.85,53.93,1.31,5.42
Rice,West,Alluvial,1320.33,25.59,54.87,5.9,38.43,73.39,62.7,8.04,2.835
Rice,East,Black,1325.15,30.45,70.19,6.51,120.19,94.4,136.25,5.84,9.386
Rice,East,Loamy,1174.42,30.35,64.76,7.79,159.89,27.46,61.86,8.87,3.741
Rice,North,Sandy,1329.68,31.94,68.34,5.66,94.81,94.59,138.41,3.38,9.187
Rice,East,Black,1348.71,28.9,60.73,6.57,105.42,40.35,48.55,6.21,6.155
Rice,North,Alluvial,1145.46,22.12,56.06,6.64,119.84,36.64,64.04,0.89,5.311
Rice,Central,Black,1385.0,21.45,71.85,5.99,121.29,109.73,38.57,4.49,7.796
Rice,West,Clay,1272.8,26.02,56.56,6.41,57.07,54.0,97.6,0.84,5.129
Rice,Central,Black,1244.15,27.74,64.41,6.23,158.19,93.58,129.57,5.99,7.603
Rice,North,Sandy,1474.21,21.77,70.76,5.65,107.54,20.01,141.19,2.81,5.582
Rice,South,Clay,1283.14,29.6,85.59,6.4,129.36,36.92,30.07,6.19,7.085
Rice,Central,Black,917.97,27.22,52.73,6.69,41.1,29.94,85.75,5.31,5.429
Rice,East,Loamy,1304.88,30.48,54.3,5.45,54.87,73.57,115.35,2.28,7.058
Rice,North,Black,1100.83,23.57,75.73,7.36,42.02,53.24,74.88,8.35,1.804
Rice,West,Alluvial,1305.81,20.72,85.49,6.29,104.85,110.91,137.32,3.04,5.68
Rice,West,Loamy,1042.26,31.24,51.19,5.71,37.81,31.52,141.45,7.79,4.118
Rice,West,Loamy,1308.48,21.23,88.69,6.83,70.88,83.81,59.99,5.68,4.342
Rice,North,Alluvial,1249.9,29.05,48.63,6.21,50.26,51.71,47.54,1.34,6.322
Rice,Central,Sandy,1375.85,30.37,90.87,5.7,154.5,106.81,95.55,3.27,8.481
Rice,North,Alluvial,1136.71,31.75,79.96,6.28,109.06,53.58,132.34,3.53,8.956
Rice,West,Black,1197.87,27.2,63.35,6.41,165.9,56.46,136.13,2.26,7.388
Rice,South,Sandy,994.71,26.58,61.1,6.58,139.24,33.38,35.82,8.64,3.326
Rice,West,Loamy,859.48,27.29,64.29,6.24,168.56,83.73,137.27,4.55,7.26
Rice,East,Clay,1073.63,23.68,87.1,6.44,134.73,90.1,116.88,5.08,7.327
Rice,South,Black,1190.89,27.76,83.22,5.75,164.97,73.48,76.9,7.85,7.578
Rice,Central,Alluvial,1434.54,32.39,79.86,6.1,82.65,69.03,97.66,6.63,9.212
Rice,North,Black,1074.91,30.01,72.7,6.36,85.89,40.5,124.13,3.77,7.16
Rice,Central,Clay,1291.1,27.39,67.62,6.26,41.4,72.8,86.19,9.08,3.057
Rice,East,Alluvial,1047.13,25.43,85.98,6.13,97.67,21.95,107.12,4.88,5.068
Rice,North,Loamy,1103.36,27.75,65.22,5.73,112.5,103.34,140.84,5.18,6.821
Rice,West,Alluvial,1362.29,25.24,79.81,6.2,83.97,53.57,36.79,3.6,5.634
Rice,South,Loamy,1100.8,25.57,63.79,6.69,166.13,79.22,89.31,8.15,6.122
Rice,South,Alluvial,1317.23,25.76,50.77,6.0,111.93,79.24,112.58,7.03,6.684
Rice,North,Loamy,1089.11,33.02,48.18,5.91,114.14,82.81,51.01,5.28,5.282
Rice,Central,Alluvial,1155.36,33.02,72.45,6.79,90.5,29.79,46.34,7.64,5.786
Rice,North,Loamy,1264.06,29.26,72.03,6.48,143.89,24.03,29.46,7.74,5.531
Rice,East,Clay,1145.79,24.81,55.79,6.18,157.02,74.48,68.82,4.85,6.839
Rice,West,Loamy,1516.69,30.48,74.8,6.67,118.72,42.18,33.15,9.18,6.335
Rice,South,Sandy,1521.21,28.27,68.95,5.9,154.72,113.02,35.9,6.9,9.767
Rice,Central,Clay,1033.27,29.83,80.74,7.1,46.81,34.48,72.34,0.87,4.73
Rice,East,Black,1102.21,27.35,72.55,5.86,43.84,29.96,124.62,3.96,6.175
Rice,South,Black,1230.14,30.67,58.91,6.85,81.09,33.12,110.59,1.63,6.979
Rice,East,Alluvial,1225.26,26.42,68.39,6.62,56.49,52.23,112.53,4.19,5.872
Rice,Central,Clay,1123.46,31.8,57.4,6.62,162.18,114.8,97.73,4.76,6.216
Rice,East,Alluvial,1185.48,32.79,57.78,6.36,104.26,70.63,59.64,7.75,4.454
Rice,West,Loamy,1059.15,24.21,62.3,6.05,58.9,100.55,65.56,6.76,4.687
Rice,North,Loamy,1031.03,26.74,71.02,6.15,77.02,39.96,42.76,7.25,4.629
Rice,East,Sandy,874.35,32.37,83.65,6.86,52.84,44.82,31.46,6.92,5.674
Rice,East,Black,1441.85,28.86,69.28,6.66,157.32,27.48,62.1,3.24,8.186
Rice,Central,Clay,1168.62,27.02,49.84,6.36,75.92,54.93,32.59,3.6,4.838
Rice,South,Alluvial,1297.75,24.15,80.97,6.19,127.38,51.86,28.11,8.31,3.965
Rice,East,Loamy,1339.57,24.72,80.02,6.87,40.01,48.9,118.92,3.91,5.615
Rice,North,Black,1122.07,24.71,82.39,6.37,47.14,109.8,77.61,9.17,4.65
Rice,Central,Black,924.94,27.71,57.47,5.8,140.06,65.48,50.15,9.37,3.616
Rice,Central,Sandy,1226.41,29.86,83.92,6.23,165.09,34.3,68.63,1.63,6.585
Rice,East,Clay,1354.19,32.15,78.84,6.23,104.58,61.17,137.49,3.96,11.002
Rice,East,Clay,1250.42,26.72,73.91,5.79,109.02,91.77,47.8,6.8,5.568
Rice,Central,Black,1272.51,24.98,57.49,6.17,100.69,22.21,132.81,3.54,5.692
Rice,North,Sandy,1101.15,28.55,62.93,5.78,57.69,24.97,29.27,9.73,4.71
Rice,West,Loamy,1177.4,24.86,81.99,6.14,164.16,65.37,119.71,3.7,7.509
Rice,East,Loamy,1032.94,24.12,91.02,6.0,68.21,31.45,31.24,7.77,5.76
Rice,South,Sandy,886.59,34.61,72.17,6.74,48.79,87.73,64.31,6.35,5.104
Rice,West,Clay,1084.04,25.38,58.59,6.86,148.11,42.59,34.75,1.77,5.003
Rice,West,Loamy,1366.77,26.61,70.98,6.41,113.45,25.78,108.49,2.27,6.528
Rice,West,Black,1221.04,28.53,68.22,6.46,35.38,99.56,128.07,7.88,6.322
Rice,West,Clay,1128.08,33.04,71.67,5.84,94.22,82.61,124.65,8.94,6.183
Rice,South,Black,1127.86,31.63,73.92,6.03,46.48,49.4,81.88,9.54,3.787
Rice,South,Black,1409.67,26.84,85.31,6.83,117.24,46.81,94.82,9.38,6.544
Rice,West,Clay,1132.45,31.06,88.71,6.49,126.62,61.39,37.97,6.74,5.445
Rice,East,Alluvial,1025.81,26.23,72.38,5.78,50.42,35.51,132.13,5.73,5.625
Rice,North,Clay,1264.22,25.96,52.37,5.86,101.05,71.74,54.51,5.95,3.494
Rice,North,Alluvial,1365.12,25.56,87.17,5.85,53.13,66.8,87.35,8.35,4.336
Rice,North,Alluvial,1436.5,31.94,66.03,6.74,111.01,93.17,44.01,7.79,7.254
Rice,North,Black,1193.49,31.37,48.7,5.94,75.49,86.62,77.84,8.8,4.101
Rice,Central,Clay,829.58,24.99,88.06,6.57,81.09,92.07,107.62,8.23,5.879
Rice,North,Clay,985.93,32.1,91.61,6.18,116.51,27.67,92.21,8.03,5.466
Rice,North,Loamy,1407.43,25.63,59.71,6.37,148.15,74.39,41.29,0.99,6.849
Rice,North,Loamy,1214.08,25.87,73.5,6.03,86.41,31.99,130.42,5.65,6.189
Rice,East,Black,1335.06,28.28,54.94,5.29,143.06,21.44,49.33,8.16,4.088
Rice,Central,Black,1425.44,20.36,79.87,5.89,164.32,68.15,70.23,5.55,7.91
Rice,East,Clay,1136.98,27.44,55.81,5.88,112.9,55.62,69.38,0.85,6.045
Rice,Central,Black,1162.61,28.62,69.13,6.34,54.69,83.08,59.9,3.26,5.698
Rice,Central,Sandy,1041.96,31.58,74.88,6.65,158.53,105.56,39.14,2.59,7.895
Rice,West,Alluvial,1072.96,25.51,60.95,6.46,161.72,84.09,63.57,7.67,4.841
Rice,East,Alluvial,1257.01,25.91,88.15,6.11,130.07,83.16,131.39,7.84,8.155
Rice,Central,Sandy,1423.55,24.07,93.85,6.38,154.98,83.13,75.38,4.36,8.278
Rice,East,Clay,1099.01,26.99,81.11,6.19,123.95,111.68,36.6,2.51,7.477
Rice,North,Alluvial,1277.0,32.16,93.42,5.72,92.82,102.23,35.93,5.16,8.49
Rice,South,Sandy,1351.15,25.36,82.89,5.97,37.71,22.63,80.41,8.84,5.802
Rice,East,Alluvial,1112.78,26.14,81.76,6.79,45.71,96.52,130.44,3.87,6.742
Rice,South,Loamy,1259.9,32.02,88.27,5.55,63.65,49.69,115.67,6.64,7.656
Rice,West,Alluvial,1113.38,25.13,50.64,6.08,119.55,50.45,85.84,6.18,5.156
Rice,East,Black,1207.16,27.43,62.58,5.98,91.04,86.88,125.69,2.21,7.962
Rice,North,Clay,1231.3,32.17,86.67,5.93,81.45,83.97,129.31,2.18,8.086
Rice,Central,Alluvial,1044.08,33.03,59.86,6.02,139.76,48.0,118.39,9.6,5.355
Rice,West,Alluvial,1143.44,32.19,91.28,6.24,99.23,81.57,118.58,4.06,8.776
Rice,South,Black,1183.05,26.48,49.29,6.31,102.75,71.86,49.27,9.26,2.977
Rice,East,Clay,1461.84,23.94,87.36,6.3,82.36,86.83,79.66,8.54,5.687
Rice,South,Sandy,1317.16,25.98,57.76,6.23,124.1,19.5,122.39,9.02,3.573
Rice,East,Loamy,1202.63,31.37,89.72,5.73,151.15,20.98,30.43,7.18,7.207
Rice,South,Clay,1087.96,30.47,67.58,6.03,102.31,113.19,120.53,5.1,7.537
Rice,East,Clay,1241.21,25.44,63.25,5.26,56.82,84.23,97.92,4.88,4.845
Rice,Central,Loamy,1266.47,26.39,88.64,5.7,151.55,35.68,129.08,9.75,5.571
Rice,East,Loamy,1213.07,26.11,89.98,6.46,102.85,52.11,115.9,4.98,7.889
Rice,West,Loamy,970.84,30.58,78.61,5.88,155.82,74.77,51.56,6.45,6.662
Rice,North,Loamy,1331.37,31.53,74.44,5.97,41.52,104.72,35.55,1.79,7.621
Rice,West,Clay,1167.96,27.96,58.3,5.58,108.65,114.36,90.0,8.36,4.78
Rice,North,Sandy,1507.3,26.74,92.72,6.23,129.98,19.48,59.47,9.5,6.295
Rice,South,Alluvial,1466.66,29.83,91.79,6.16,40.59,62.01,61.01,3.78,7.864
Rice,West,Sandy,1060.01,29.81,67.28,6.64,87.03,57.77,44.74,9.79,1.933
Rice,North,Clay,877.52,22.99,59.71,5.86,67.5,37.25,41.59,8.39,3.748
Rice,North,Loamy,999.57,30.5,79.5,5.57,96.49,74.04,83.4,6.63,5.793
Rice,West,Alluvial,1062.84,31.68,65.48,6.56,152.37,52.45,35.5,9.58,3.318
Rice,East,Alluvial,1008.92,22.48,51.31,6.39,159.73,92.24,58.69,8.37,4.558
Rice,East,Alluvial,992.96,25.57,93.97,6.89,84.15,37.87,47.79,4.09,4.907
Rice,South,Clay,1262.41,24.5,77.46,6.65,152.15,22.2,72.61,8.29,3.31
Rice,West,Loamy,956.43,30.92,65.26,5.76,105.55,47.33,105.48,3.28,7.661
